Company,Pizza_Name,Type,Size,Price ($)
Godfather's Pizza,Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust),Specialty Pizzas,M,22.24 
Godfather's Pizza,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,L,23.99 
Godfather's Pizza,Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust),Specialty Pizzas,L,26.23 
Godfather's Pizza,"Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,Jumbo,27.99 
Godfather's Pizza,"Margherita Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,M,9.99 
Godfather's Pizza,Margherita Pizza (Thin Crust),Specialty Pizzas,L,13.99 
Godfather's Pizza,"Margherita Chicken Pizza (Original, Golden or Thin Crust)",Specialty Pizzas,M,11.99 
Godfather's Pizza,Margherita Chicken Pizza (Thin Crust),Specialty Pizzas,L,15.99 
Godfather's Pizza,Thin Crust,Gluten-Free Pizzas,M,19.99 
Godfather's Pizza,Thin Crust,Gluten-Free Pizzas,L,23.99 
Godfather's Pizza,Original Crust,Express Favorites,Mini,4.99 
Godfather's Pizza,Original or Golden Crust,Express Favorites,S,12.69 
Godfather's Pizza,"Original, Golden or Thin Crust",Express Favorites,M,15.34 
Godfather's Pizza,Mozza-Loaded Crust,Express Favorites,M,15.24 
Godfather's Pizza,"Original, Golden or Thin Crust",Express Favorites,L,18.69 
Godfather's Pizza,Mozza-Loaded Crust,Express Favorites,L,18.74 
Godfather's Pizza,Original or Thin Crust,Express Favorites,Jumbo,21.99 
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,S,12.70 
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,M,16.20 
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,L,19.95 
IMO's Pizza,Deluxe Pizza,Specialty Pizzas,X Large,23.85 
IMO's Pizza,Veggie Pizza,Specialty Pizzas,S,12.70 
IMO's Pizza,Veggie Pizza,Specialty Pizzas,M,16.20 
IMO's Pizza,Veggie Pizza,Specialty Pizzas,L,19.95 
IMO's Pizza,Veggie Pizza,Specialty Pizzas,X Large,23.85 
IMO's Pizza,Cheese Pizza,Specialty Pizzas,S,9.30 
IMO's Pizza,Cheese Pizza,Specialty Pizzas,M,11.60 
IMO's Pizza,Cheese Pizza,Specialty Pizzas,L,14.45 
IMO's Pizza,Cheese Pizza,Specialty Pizzas,X Large,17.35 
IMO's Pizza,All Meat Pizza,Specialty Pizzas,S,12.70 
IMO's Pizza,All Meat Pizza,Specialty Pizzas,M,16.20 
IMO's Pizza,All Meat Pizza,Specialty Pizzas,L,19.95 
IMO's Pizza,All Meat Pizza,Specialty Pizzas,X Large,23.85 
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,S,12.70 
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,M,16.20 
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,L,19.20 
IMO's Pizza,BBQ Chicken Pizza,Specialty Pizzas,X Large,23.85 
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,Small ,11.80 
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,M,14.95 
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,L,18.65 
IMO's Pizza,Egg-Ceptional Pizza,Specialty Pizzas,X Large,22.30
